Search term,Campaign,Ad group,Match type,Added/Excluded,Clicks,Impr.,Cost,Conversions,RECOMMENDATION,REASON
farmingdale cheerleading,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
luhi summer camp schedule,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Competitor term: 'luhi summer camp'
future stars purchase ny,CM - pMax - Portland (MxConv), --,Performance Max,None,2,5,3.55,1.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
how to make a baseball,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'how to'
girl scout sleepaway camp ny,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: ' ny'
farmingdale college lacrosse,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'farmingdale'
shibley day camp,CM - pMax - Portland (MxConv), --,Performance Max,None,0,33,0.00,0.00,ADD NEGATIVE,Competitor term: 'shibley day camp'
nassau county summer recreation program,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'nassau'
long island legends,CM - pMax - Portland (MxConv), --,Performance Max,None,0,3,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
what size soccer ball 5 year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
what size soccer ball for a three year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,2,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
soccer ball size for 9 year old,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'ball size'
what size soccer ball for toddlers,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,Wrong intent signal: 'what size'
events long island,CM - pMax - Portland (MxConv), --,Performance Max,None,0,1,0.00,0.00,ADD NEGATIVE,NY/LI geography in Portland campaign: 'long island'
